ref_id,value_date,account,amount,category
TXA001,2024-01-05,ACC100,15000,transfer
TXA002,2024-01-06,ACC101,9700,payment
TXA004,2024-01-08,ACC100,22000,transfer
TXA005,2024-01-09,ACC103,8500,payment
TXA006,2024-01-10,ACC101,5500,transfer
TXA007,2024-01-11,ACC104,9900,void
TXA008,2024-01-12,ACC100,17500,payment
TXA009,2024-01-13,ACC102,4500,transfer
TXA010,2024-01-14,ACC103,13000,payment
TXA011,2024-01-15,ACC101,4400,void
TXA012,2024-01-16,ACC104,28000,transfer
TXB005,2024-01-18,ACC105,7700,payment
TXB009,2024-01-19,ACC102,3300,transfer
TXB014,2024-01-20,ACC103,19000,payment
